단지 명,년,월,총공용관리비용,총세대사용비용,총장기구선충당금
개포우성9차,2015,9,35235859,15180570,3675900
개포우성9차,2015,8,33567468,22878080,3675900
개포우성9차,2015,7,37106898,13559350,3675900
개포우성9차,2015,6,38907818,16921900,3675900
개포우성9차,2015,5,33410514,18092000,3675900
개포우성9차,2015,4,33920412,27557820,3675900
개포우성9차,2015,3,34537516,33893620,3675900
개포우성9차,2015,2,34490905,44226440,3675900
개포우성9차,2015,1,32900915,48286230,3675900
개포우성9차,2014,12,29462724,51148740,3675900
개포우성9차,2014,11,32026217,30604330,3675900
개포우성9차,2014,10,29277890,21479670,3675900
개포우성9차,2014,9,29684969,17845900,3675900
개포우성9차,2014,8,30542321,21032610,3675900
개포우성9차,2014,7,33572574,18194660,3675900
개포우성9차,2014,6,31093597,20222590,3675900
개포우성9차,2014,5,30249840,19212810,3675900
개포우성9차,2014,4,26256330,29810000,3675900
개포우성9차,2014,3,29351185,35986240,3675900
개포현대3차,2015,9,44356086,18932950,6757560
개포주공7단지,2015,9,116398370,58013730,9171050
개포주공3단지,2015,9,61083000,,372000
개포주공4단지,2015,8,96033080,,
개포주공7단지,2015,8,104489670,49358300,9171050
개포주공3단지,2015,8,32953800,,372000
개포현대3차,2015,7,45746367,23308910,6757560
개포주공7단지,2015,7,105618070,54129240,9171050
개포주공4단지,2015,7,75779650,,
개포주공7단지,2015,6,100733560,49965820,9171050
개포주공4단지,2015,6,84972750,,1670700
개포주공3단지,2015,6,44703530,,372000
개포현대3차,2015,6,45561749,23803370,6757560
개포현대3차,2015,5,45388963,26006920,6757560
개포주공7단지,2015,5,107077580,92733380,9171050
개포주공3단지,2015,5,34250820,,372000
개포주공7단지,2015,4,109073650,131308360,9171050
개포주공4단지,2015,4,78793230,,
개포현대3차,2015,4,44656795,36159625,6757560
개포현대3차,2015,3,42675433,47896800,6757560
개포주공3단지,2015,3,43691070,,372000
개포주공7단지,2015,3,103899360,157527270,9171050
개포주공4단지,2015,3,69328510,,1670700
개포주공3단지,2015,2,39089980,,372000
개포주공7단지,2015,2,108055660,167079480,9171050
개포현대3차,2015,2,40251094,61564629,6757560
개포주공4단지,2015,2,94560150,,
개포현대3차,2015,1,40338989,68394899,6757560
개포주공7단지,2015,1,105377500,182285150,9171050
개포현대3차,2014,12,36525072,73019199,6757560
개포주공3단지,2014,12,47491930,0,372000
개포주공4단지,2014,12,76729070,0,1313880
개포주공7단지,2014,12,154901900,107688860,7860900
개포주공7단지,2014,11,101812980,78931690,7860900
개포현대3차,2014,11,37030286,47687559,6757560
개포주공3단지,2014,11,32172610,,744000
개포주공4단지,2014,11,71194180,,
개포주공3단지,2014,10,34270440,,
개포주공4단지,2014,10,75790230,,
개포주공7단지,2014,10,112230700,44324670,7860900
개포현대3차,2014,10,38519117,31492449,6757560
개포주공7단지,2014,9,100561000,56871970,7860900
개포현대3차,2014,9,36160313,24801159,6757560
개포주공4단지,2014,8,75792660,,
개포주공7단지,2014,8,102946920,53427140,7860900
개포현대3차,2014,8,36797542,28345809,6757560
개포주공3단지,2014,8,35081960,,372000
개포현대3차,2014,7,37797151,26209850,6757560
개포주공4단지,2014,7,87735410,,
개포주공3단지,2014,7,47126430,,372000
개포주공7단지,2014,7,103654140,51518030,7860900
개포주공7단지,2014,6,101835970,54586120,7860900
개포주공4단지,2014,6,76699050,,1313880
개포주공3단지,2014,6,45319250,,372000
개포현대3차,2014,6,37330935,26634160,6757560
개포주공7단지,2014,5,104762470,79108010,7860900
개포현대3차,2014,5,37813479,27985880,6757560
개포주공7단지,2014,4,103915920,123266910,7860900
개포현대3차,2014,4,38002750,34079630,6757560
개포주공4단지,2014,4,77415760,,
개포주공3단지,2014,4,34753840,,372000
개포주공3단지,2014,3,43880400,,372000
개포주공4단지,2014,3,68091950,,1313880
개포현대3차,2014,3,36583739,45950100,6757560
개포주공7단지,2014,3,101140360,150878030,7860900
개포현대3차,2014,2,36805816,58966810,6757560
개포주공4단지,2014,2,81491360,,
개포주공7단지,2014,1,104789220,160580810,7860900
개포주공3단지,2014,1,34693470,,372000
개포현대3차,2014,1,36510166,72284360,6757560
개포주공4단지,2013,12,74091810,,1313880
개포주공3단지,2013,12,45418350,,372000
개포현대3차,2013,12,34715190,65658490,6757560
개포주공7단지,2013,12,126349710,138281740,7860900
개포주공4단지,2013,11,71066970,,
개포현대3차,2013,11,35613419,50885840,6757560
개포주공7단지,2013,11,86759920,89862390,7860900
개포주공3단지,2013,10,33109820,,
개포현대3차,2013,10,36003561,31021140,6757560
개포주공3단지,2013,9,44274790,,372000
개포주공4단지,2013,9,64609730,,1313880
개포현대3차,2013,9,35313846,27317530,6757560
개포주공7단지,2013,9,89030690,90994320,7860900
개포현대3차,2013,8,35201365,41096490,6757560
개포주공7단지,2013,8,85544820,70734540,7860900
개포주공3단지,2013,8,30632440,,372000
개포주공4단지,2013,8,71256600,,
개포주공4단지,2013,7,84542470,,
개포주공7단지,2013,7,86720610,68673700,7860900
개포주공3단지,2013,6,40647080,,372000
개포주공7단지,2013,5,87324610,136636070,7860900
개포주공4단지,2013,5,70820480,,
